Data;id_de_lançamento;Local;Insumo;Novos ;Retífica;QTD Total
17/jan;1;TL;Anticostela;18*16*20;;
17/jan;2;Torre Quí;Coater ;04-18-10-08-P513-RCR03-12-05;11*09*02;
17/jan;3;Saída;Colarinho;;;58.0
17/jan;5;Marcadora;Tintas #2;66;;
17/jan;6;Marcadora;Solventes #1;31;;
